year,ratio
-10,0.9999999999999999
-11,0.457854157054522
-10,0.44343600328114646
-5,0.3008388573485885
0,0.2941273306332446
5,0.3303213338186657
10,0.3465013506013792
15,0.34643864795671037
20,0.3417915758557692
25,0.34841088116906554
30,0.32477016016263893
35,0.2999755100793703
40,0.28982823624742454
45,0.29204315006955694
50,0.28481101329873904
55,0.2921170247563722
60,0.31431986663625966
65,0.31820153523838524
70,0.3131539006632411
75,0.31886136309566865
80,0.2997754775573543
85,0.3029977378203037
90,0.321268683859649
95,0.3325954335354695
100,0.3625823533990206
105,0.3865162127805581
110,0.3772599778930304
115,0.39468928307527906
120,0.39979754095780023
125,0.41523661783366
130,0.42310834671688236
135,0.4312106857982415
140,0.43974163768803975
145,0.4559864898991302
150,0.4611121217304366
155,0.45146950095202854
160,0.4310825710385938
165,0.4328341352574062
170,0.4430564597334685
175,0.44715743458580887
180,0.4592880152888826
185,0.4564743639830898
190,0.45809833956870843
195,0.4625596891283137
200,0.45821767289081494
205,0.4508533051843066
210,0.45703193542575565
215,0.4712279906230073
220,0.5066228438481722
225,0.5340881617843231
230,0.5503524654862776
235,0.5624425419039525
240,0.5484779635465176
245,0.5695959603981757
250,0.616941540361914
255,0.6332964891035878
260,0.6253892325064168
265,0.6323512581583774
270,0.6410059921218193
275,0.6365966310953969
280,0.6412168818553552
285,0.634771874306267
290,0.6104918420356485
295,0.6137897647393555
300,0.5922851498456763
305,0.5631732982716958
310,0.5386545033631733
315,0.5281586517054583
320,0.5309581494626127
325,0.5290760183676115
330,0.5257013495411533
335,0.52136593164784
340,0.5037307842764576
345,0.47730242645772053
350,0.4754006180757855
